PUML Macro (Name),PUML IMPORT
AmazonLex,!include <aws/AI/AmazonLex/AmazonLex>
AmazonMachineLearning,!include <aws/AI/AmazonMachineLearning/AmazonMachineLearning>
AmazonPolly,!include <aws/AI/AmazonPolly/AmazonPolly>
AmazonRekognition,!include <aws/AI/AmazonRekognition/AmazonRekognition>
AmazonAthena,!include <aws/Analytics/AmazonAthena/AmazonAthena>
AmazonCloudSearch,!include <aws/Analytics/AmazonCloudSearch/AmazonCloudSearch>
searchdocuments,!include <aws/Analytics/AmazonCloudSearch/searchdocuments/searchdocuments>
AmazonEMR,!include <aws/Analytics/AmazonEMR/AmazonEMR>
cluster,!include <aws/Analytics/AmazonEMR/cluster/cluster>
EMRengine,!include <aws/Analytics/AmazonEMR/EMRengine/EMRengine>
EMRengineMapRM3,!include <aws/Analytics/AmazonEMR/EMRengineMapRM3/EMRengineMapRM3>
EMRengineMapRM5,!include <aws/Analytics/AmazonEMR/EMRengineMapRM5/EMRengineMapRM5>
EMRengineMapRM7,!include <aws/Analytics/AmazonEMR/EMRengineMapRM7/EMRengineMapRM7>
AmazonEMR_HDFScluster,!include <aws/Analytics/AmazonEMR_HDFScluster/AmazonEMR_HDFScluster>
AmazonES,!include <aws/Analytics/AmazonES/AmazonES>
AmazonKinesis,!include <aws/Analytics/AmazonKinesis/AmazonKinesis>
AmazonKinesis_enabledapp,!include <aws/Analytics/AmazonKinesis/AmazonKinesis_enabledapp/AmazonKinesis_enabledapp>
AmazonKinesisAnalytics,!include <aws/Analytics/AmazonKinesis/AmazonKinesisAnalytics/AmazonKinesisAnalytics>
AmazonKinesisFirehose,!include <aws/Analytics/AmazonKinesis/AmazonKinesisFirehose/AmazonKinesisFirehose>
AmazonKinesisStreams,!include <aws/Analytics/AmazonKinesis/AmazonKinesisStreams/AmazonKinesisStreams>
AmazonQuickSight,!include <aws/Analytics/AmazonQuickSight/AmazonQuickSight>
AmazonRedshift,!include <aws/Analytics/AmazonRedshift/AmazonRedshift>
densecomputenode,!include <aws/Analytics/AmazonRedshift/densecomputenode/densecomputenode>
densestoragenode,!include <aws/Analytics/AmazonRedshift/densestoragenode/densestoragenode>
AWSDataPipeline,!include <aws/Analytics/AWSDataPipeline/AWSDataPipeline>
AWSGlue,!include <aws/Analytics/AWSGlue/AWSGlue>
AmazonAPIGateway,!include <aws/ApplicationServices/AmazonAPIGateway/AmazonAPIGateway>
AmazonElasticTranscoder,!include <aws/ApplicationServices/AmazonElasticTranscoder/AmazonElasticTranscoder>
AmazonSWF,!include <aws/ApplicationServices/AmazonSWF/AmazonSWF>
decider,!include <aws/ApplicationServices/AmazonSWF/decider/decider>
worker,!include <aws/ApplicationServices/AmazonSWF/worker/worker>
AWSStepFunctions,!include <aws/ApplicationServices/AWSStepFunctions/AWSStepFunctions>
AmazonChime,!include <aws/BusinessProductivity/AmazonChime/AmazonChime>
AmazonWorkDocs,!include <aws/BusinessProductivity/AmazonWorkDocs/AmazonWorkDocs>
AmazonWorkMail,!include <aws/BusinessProductivity/AmazonWorkMail/AmazonWorkMail>
common,!include <aws/common>
AmazonEC2,!include <aws/Compute/AmazonEC2/AmazonEC2>
AMI,!include <aws/Compute/AmazonEC2/AMI/AMI>
AutoScaling,!include <aws/Compute/AmazonEC2/AutoScaling/AutoScaling>
DBoninstance,!include <aws/Compute/AmazonEC2/DBoninstance/DBoninstance>
EC2rescue,!include <aws/Compute/AmazonEC2/EC2rescue/EC2rescue>
ElasticIPaddress,!include <aws/Compute/AmazonEC2/ElasticIPaddress/ElasticIPaddress>
instance,!include <aws/Compute/AmazonEC2/instance/instance>
instances,!include <aws/Compute/AmazonEC2/instances/instances>
instancewithCloudWatch,!include <aws/Compute/AmazonEC2/instancewithCloudWatch/instancewithCloudWatch>
optimizedinstance,!include <aws/Compute/AmazonEC2/optimizedinstance/optimizedinstance>
SpotFleet,!include <aws/Compute/AmazonEC2/SpotFleet/SpotFleet>
SpotInstance,!include <aws/Compute/AmazonEC2/SpotInstance/SpotInstance>
X1instance,!include <aws/Compute/AmazonEC2/X1instance/X1instance>
AmazonECR,!include <aws/Compute/AmazonECR/AmazonECR>
ECRRegistry,!include <aws/Compute/AmazonECR/ECRRegistry/ECRRegistry>
AmazonECS,!include <aws/Compute/AmazonECS/AmazonECS>
ECScontainer,!include <aws/Compute/AmazonECS/ECScontainer/ECScontainer>
ECScontainer_Alt1,!include <aws/Compute/AmazonECS/ECScontainer_Alt1/ECScontainer_Alt1>
ECScontainer_Alt2,!include <aws/Compute/AmazonECS/ECScontainer_Alt2/ECScontainer_Alt2>
AmazonLightsail,!include <aws/Compute/AmazonLightsail/AmazonLightsail>
AmazonVPC,!include <aws/Compute/AmazonVPC/AmazonVPC>
customergateway,!include <aws/Compute/AmazonVPC/customergateway/customergateway>
elasticnetworkadapter,!include <aws/Compute/AmazonVPC/elasticnetworkadapter/elasticnetworkadapter>
elasticnetworkinterface,!include <aws/Compute/AmazonVPC/elasticnetworkinterface/elasticnetworkinterface>
endpoints,!include <aws/Compute/AmazonVPC/endpoints/endpoints>
flowlogs,!include <aws/Compute/AmazonVPC/flowlogs/flowlogs>
Internetgateway,!include <aws/Compute/AmazonVPC/Internetgateway/Internetgateway>
networkaccesscontrollist,!include <aws/Compute/AmazonVPC/networkaccesscontrollist/networkaccesscontrollist>
router,!include <aws/Compute/AmazonVPC/router/router>
VPCNATgateway,!include <aws/Compute/AmazonVPC/VPCNATgateway/VPCNATgateway>
VPCpeering,!include <aws/Compute/AmazonVPC/VPCpeering/VPCpeering>
VPNconnection,!include <aws/Compute/AmazonVPC/VPNconnection/VPNconnection>
VPNgateway,!include <aws/Compute/AmazonVPC/VPNgateway/VPNgateway>
AWSBatch,!include <aws/Compute/AWSBatch/AWSBatch>
AWSElasticBeanstalk,!include <aws/Compute/AWSElasticBeanstalk/AWSElasticBeanstalk>
application,!include <aws/Compute/AWSElasticBeanstalk/application/application>
deployment,!include <aws/Compute/AWSElasticBeanstalk/deployment/deployment>
AWSLambda,!include <aws/Compute/AWSLambda/AWSLambda>
LambdaFunction,!include <aws/Compute/AWSLambda/LambdaFunction/LambdaFunction>
