PUML Macro (Name),PUML IMPORT
AzureBatchAI,!include <azure/AIMachineLearning/AzureBatchAI>
AzureBotService,!include <azure/AIMachineLearning/AzureBotService>
AzureCognitiveServices,!include <azure/AIMachineLearning/AzureCognitiveServices>
AzureMachineLearningService,!include <azure/AIMachineLearning/AzureMachineLearningService>
AzureMachineLearningStudio,!include <azure/AIMachineLearning/AzureMachineLearningStudio>
AzureMachineLearningStudioClassic,!include <azure/AIMachineLearning/AzureMachineLearningStudioClassic>
AzureMachineLearningStudioWebServicePlan,!include <azure/AIMachineLearning/AzureMachineLearningStudioWebServicePlan>
AzureMachineLearningStudioWorkspace,!include <azure/AIMachineLearning/AzureMachineLearningStudioWorkspace>
AzureTranslatorText,!include <azure/AIMachineLearning/AzureTranslatorText>
MicrosoftGenomics,!include <azure/AIMachineLearning/MicrosoftGenomics>
AzureAnalysisServices,!include <azure/Analytics/AzureAnalysisServices>
AzureDatabricks,!include <azure/Analytics/AzureDatabricks>
AzureDataCatalog,!include <azure/Analytics/AzureDataCatalog>
AzureDataExplorer,!include <azure/Analytics/AzureDataExplorer>
AzureDataLakeStoreGen1,!include <azure/Analytics/AzureDataLakeStoreGen1>
AzureEventHub,!include <azure/Analytics/AzureEventHub>
AzureEventHubCluster,!include <azure/Analytics/AzureEventHubCluster>
AzureHDInsightCluster,!include <azure/Analytics/AzureHDInsightCluster>
AzureLogAnalyticsWorkspace,!include <azure/Analytics/AzureLogAnalyticsWorkspace>
AzurePowerBIEmbedded,!include <azure/Analytics/AzurePowerBIEmbedded>
AzurePurviewAccount,!include <azure/Analytics/AzurePurviewAccount>
AzureStreamAnalyticsJob,!include <azure/Analytics/AzureStreamAnalyticsJob>
AzureSynapseAnalytics,!include <azure/Analytics/AzureSynapseAnalytics>
PowerBI,!include <azure/Analytics/PowerBI>
AzurBlockchainMember,!include <azure/Blockchain/AzurBlockchainMember>
AzurBlockchainService,!include <azure/Blockchain/AzurBlockchainService>
AzurBlockchainTokenService,!include <azure/Blockchain/AzurBlockchainTokenService>
AzureBlockchainConnection,!include <azure/Blockchain/AzureBlockchainConnection>
AzureBlockchainConsortium,!include <azure/Blockchain/AzureBlockchainConsortium>
AzureAppService,!include <azure/Compute/AzureAppService>
AzureAppServicePlan,!include <azure/Compute/AzureAppServicePlan>
AzureAppServicePlanLinux,!include <azure/Compute/AzureAppServicePlanLinux>
AzureAutomanagedVirtualMachine,!include <azure/Compute/AzureAutomanagedVirtualMachine>
AzureAvailabiltySet,!include <azure/Compute/AzureAvailabiltySet>
AzureBatch,!include <azure/Compute/AzureBatch>
AzureBatchAccount,!include <azure/Compute/AzureBatchAccount>
AzureCloudServices,!include <azure/Compute/AzureCloudServices>
AzureContainerService,!include <azure/Compute/AzureContainerService>
AzureDisk,!include <azure/Compute/AzureDisk>
AzureDiskEncryptionSet,!include <azure/Compute/AzureDiskEncryptionSet>
AzureDiskSnapshot,!include <azure/Compute/AzureDiskSnapshot>
AzureFunction,!include <azure/Compute/AzureFunction>
AzureImageClassic,!include <azure/Compute/AzureImageClassic>
AzureImageDefinition,!include <azure/Compute/AzureImageDefinition>
AzureImageVersion,!include <azure/Compute/AzureImageVersion>
AzureMeshApplication,!include <azure/Compute/AzureMeshApplication>
AzureServerFarm,!include <azure/Compute/AzureServerFarm>
AzureServiceFabric,!include <azure/Compute/AzureServiceFabric>
AzureSharedImageGallery,!include <azure/Compute/AzureSharedImageGallery>
AzureSpringCloud,!include <azure/Compute/AzureSpringCloud>
AzureVirtualDesktop,!include <azure/Compute/AzureVirtualDesktop>
AzureVirtualDesktopApplicationGroup,!include <azure/Compute/AzureVirtualDesktopApplicationGroup>
AzureVirtualDesktopHostPool,!include <azure/Compute/AzureVirtualDesktopHostPool>
AzureVirtualDesktopWorkspace,!include <azure/Compute/AzureVirtualDesktopWorkspace>
AzureVirtualMachine,!include <azure/Compute/AzureVirtualMachine>
AzureVirtualMachineClassic,!include <azure/Compute/AzureVirtualMachineClassic>
AzureVirtualMachineScaleSet,!include <azure/Compute/AzureVirtualMachineScaleSet>
AzureWebSlot,!include <azure/Compute/AzureWebSlot>
AzureWebTest,!include <azure/Compute/AzureWebTest>
AzureWorkspace,!include <azure/Compute/AzureWorkspace>
AzureContainerApp,!include <azure/Containers/AzureContainerApp>
AzureContainerInstance,!include <azure/Containers/AzureContainerInstance>
AzureContainerRegistry,!include <azure/Containers/AzureContainerRegistry>
AzureKubernetesService,!include <azure/Containers/AzureKubernetesService>
AzureServiceEnvironment,!include <azure/Containers/AzureServiceEnvironment>
AzureCosmosDb,!include <azure/Databases/AzureCosmosDb>
AzureDatabaseForMariaDB,!include <azure/Databases/AzureDatabaseForMariaDB>
AzureDatabaseForMySQL,!include <azure/Databases/AzureDatabaseForMySQL>
AzureDatabaseForPostgreSQL,!include <azure/Databases/AzureDatabaseForPostgreSQL>
AzureDatabaseMigrationService,!include <azure/Databases/AzureDatabaseMigrationService>
AzureDataBricks,!include <azure/Databases/AzureDataBricks>
AzureDataExplorerCluster,!include <azure/Databases/AzureDataExplorerCluster>
AzureDataFactory,!include <azure/Databases/AzureDataFactory>
AzureInstancePool,!include <azure/Databases/AzureInstancePool>
AzureManagedDatabase,!include <azure/Databases/AzureManagedDatabase>
AzureRedisCache,!include <azure/Databases/AzureRedisCache>
AzureSql,!include <azure/Databases/AzureSql>
AzureSqlDatabase,!include <azure/Databases/AzureSqlDatabase>
AzureSqlDataWarehouse,!include <azure/Databases/AzureSqlDataWarehouse>
AzureSqlElasticPool,!include <azure/Databases/AzureSqlElasticPool>
AzureSqlManagedInstance,!include <azure/Databases/AzureSqlManagedInstance>
AzureSqlServer,!include <azure/Databases/AzureSqlServer>
AzureSqlStretchDatabase,!include <azure/Databases/AzureSqlStretchDatabase>
AzureSqlVirtualMachine,!include <azure/Databases/AzureSqlVirtualMachine>
AzureSSISLiftAndShift,!include <azure/Databases/AzureSSISLiftAndShift>
AzureVirtualCluster,!include <azure/Databases/AzureVirtualCluster>
AzureApplicationInsights,!include <azure/DevOps/AzureApplicationInsights>
AzureArtifacts,!include <azure/DevOps/AzureArtifacts>
AzureBoards,!include <azure/DevOps/AzureBoards>
AzureDevOps,!include <azure/DevOps/AzureDevOps>
AzureDevOpsOrganisation,!include <azure/DevOps/AzureDevOpsOrganisation>
AzureDevTestLabs,!include <azure/DevOps/AzureDevTestLabs>
AzureLabServices,!include <azure/DevOps/AzureLabServices>
AzurePipelines,!include <azure/DevOps/AzurePipelines>
AzureRepos,!include <azure/DevOps/AzureRepos>
AzureTestPlans,!include <azure/DevOps/AzureTestPlans>
Azure,!include <azure/General/Azure>
AzureWorkbook,!include <azure/General/AzureWorkbook>
AzureWorkflow,!include <azure/General/AzureWorkflow>
DICOMService,!include <azure/Health/DICOMService>
FHIRService,!include <azure/Health/FHIRService>
HealthDataServices,!include <azure/Health/HealthDataServices>
MedTechService,!include <azure/Health/MedTechService>
AzureActiveDirectory,!include <azure/Identity/AzureActiveDirectory>
AzureActiveDirectoryB2C,!include <azure/Identity/AzureActiveDirectoryB2C>
AzureActiveDirectoryConnectHealth,!include <azure/Identity/AzureActiveDirectoryConnectHealth>
AzureActiveDirectoryDomainServices,!include <azure/Identity/AzureActiveDirectoryDomainServices>
AzureActiveDirectoryGroup,!include <azure/Identity/AzureActiveDirectoryGroup>
AzureActiveDirectoryIdentityProtection,!include <azure/Identity/AzureActiveDirectoryIdentityProtection>
AzureActiveDirectoryRolesAndAdministrators,!include <azure/Identity/AzureActiveDirectoryRolesAndAdministrators>
AzureActiveDirectoryUser,!include <azure/Identity/AzureActiveDirectoryUser>
AzureAppRegistration,!include <azure/Identity/AzureAppRegistration>
AzureEnterpriseApplication,!include <azure/Identity/AzureEnterpriseApplication>
AzureIdentityGovernance,!include <azure/Identity/AzureIdentityGovernance>
AzureManagedIdentity,!include <azure/Identity/AzureManagedIdentity>
AzureBizTalk,!include <azure/Integration/AzureBizTalk>
AzureEventGrid,!include <azure/Integration/AzureEventGrid>
AzureEventGridDomain,!include <azure/Integration/AzureEventGridDomain>
AzureEventGridSubscription,!include <azure/Integration/AzureEventGridSubscription>
AzureEventGridTopic,!include <azure/Integration/AzureEventGridTopic>
AzureIntegrationAccount,!include <azure/Integration/AzureIntegrationAccount>
AzureLogicApps,!include <azure/Integration/AzureLogicApps>
AzurePartnerTopic,!include <azure/Integration/AzurePartnerTopic>
AzureServiceBus,!include <azure/Integration/AzureServiceBus>
AzureServiceBusQueue,!include <azure/Integration/AzureServiceBusQueue>
AzureServiceBusTopic,!include <azure/Integration/AzureServiceBusTopic>
AzureSystemTopic,!include <azure/Integration/AzureSystemTopic>
AzureDeviceProvisioningService,!include <azure/InternetOfThings/AzureDeviceProvisioningService>
AzureDigitalTwins,!include <azure/InternetOfThings/AzureDigitalTwins>
AzureIoTCentral,!include <azure/InternetOfThings/AzureIoTCentral>
AzureIoTCentralApplications,!include <azure/InternetOfThings/AzureIoTCentralApplications>
AzureIoTEdge,!include <azure/InternetOfThings/AzureIoTEdge>
AzureIoTHub,!include <azure/InternetOfThings/AzureIoTHub>
AzureMaps,!include <azure/InternetOfThings/AzureMaps>
AzureTimeSeriesDataSet,!include <azure/InternetOfThings/AzureTimeSeriesDataSet>
AzureTimeSeriesInsights,!include <azure/InternetOfThings/AzureTimeSeriesInsights>
AzureTimeSeriesInsightsAccessPolicy,!include <azure/InternetOfThings/AzureTimeSeriesInsightsAccessPolicy>
AzureTimeSeriesInsightsEnvironment,!include <azure/InternetOfThings/AzureTimeSeriesInsightsEnvironment>
AzureTimeSeriesInsightsEventSource,!include <azure/InternetOfThings/AzureTimeSeriesInsightsEventSource>
AzureIntune,!include <azure/Intune/AzureIntune>
AzureIntuneApple,!include <azure/Intune/AzureIntuneApple>
AzureIntuneGoogle,!include <azure/Intune/AzureIntuneGoogle>
AzureIntuneWindows,!include <azure/Intune/AzureIntuneWindows>
AppConfiguration,!include <azure/Management/AppConfiguration>
AzureArc,!include <azure/Management/AzureArc>
AzureArcMachine,!include <azure/Management/AzureArcMachine>
AzureAutomation,!include <azure/Management/AzureAutomation>
AzureBackup,!include <azure/Management/AzureBackup>
AzureBlueprints,!include <azure/Management/AzureBlueprints>
AzureCompliance,!include <azure/Management/AzureCompliance>
AzureCostAlert,!include <azure/Management/AzureCostAlert>
AzureCostAnalysis,!include <azure/Management/AzureCostAnalysis>
AzureCostBudget,!include <azure/Management/AzureCostBudget>
AzureCostManagement,!include <azure/Management/AzureCostManagement>
AzureCostManagementAndBilling,!include <azure/Management/AzureCostManagementAndBilling>
AzureGeoRecovery,!include <azure/Management/AzureGeoRecovery>
AzureLighthouse,!include <azure/Management/AzureLighthouse>
AzureLogAnalytics,!include <azure/Management/AzureLogAnalytics>
AzureManagedApplicationCenter,!include <azure/Management/AzureManagedApplicationCenter>
AzureManagedApplications,!include <azure/Management/AzureManagedApplications>
AzureManagementGroups,!include <azure/Management/AzureManagementGroups>
AzureManagementPortal,!include <azure/Management/AzureManagementPortal>
AzureMetrics,!include <azure/Management/AzureMetrics>
AzureMonitor,!include <azure/Management/AzureMonitor>
AzurePolicy,!include <azure/Management/AzurePolicy>
AzureRecoveryServiceVault,!include <azure/Management/AzureRecoveryServiceVault>
AzureResourceGraphExplorer,!include <azure/Management/AzureResourceGraphExplorer>
AzureResourceGroupList,!include <azure/Management/AzureResourceGroupList>
AzureResourceGroups,!include <azure/Management/AzureResourceGroups>
AzureResourceLinked,!include <azure/Management/AzureResourceLinked>
AzureScheduler,!include <azure/Management/AzureScheduler>
AzureSiteRecovery,!include <azure/Management/AzureSiteRecovery>
AzureSolutions,!include <azure/Management/AzureSolutions>
AzureSubscription,!include <azure/Management/AzureSubscription>
AzureTag,!include <azure/Management/AzureTag>
AzureUserPrivacy,!include <azure/Management/AzureUserPrivacy>
AzureMedia,!include <azure/Media/AzureMedia>
AzureMediaFile,!include <azure/Media/AzureMediaFile>
AzureMediaServices,!include <azure/Media/AzureMediaServices>
AzureDataBoxEdge,!include <azure/Migrate/AzureDataBoxEdge>
AzureMigrate,!include <azure/Migrate/AzureMigrate>
AzureMobileApp,!include <azure/Mobile/AzureMobileApp>
AzureMobileEngagement,!include <azure/Mobile/AzureMobileEngagement>
AzureNotificationHub,!include <azure/Mobile/AzureNotificationHub>
AzureNotificationHubNamespace,!include <azure/Mobile/AzureNotificationHubNamespace>
AzureNotificationHubs,!include <azure/Mobile/AzureNotificationHubs>
AzureApplicationGateway,!include <azure/Networking/AzureApplicationGateway>
