PUML Macro (Name),PUML IMPORT
AI_Hub,!include <gcp/AI_and_Machine_Learning/AI_Hub>
AI_Platform,!include <gcp/AI_and_Machine_Learning/AI_Platform>
AI_Platform_Data_Labeling_Service,!include <gcp/AI_and_Machine_Learning/AI_Platform_Data_Labeling_Service>
Advanced_Solutions_Lab,!include <gcp/AI_and_Machine_Learning/Advanced_Solutions_Lab>
AutoML_Natural_Language,!include <gcp/AI_and_Machine_Learning/AutoML_Natural_Language>
AutoML_Tables,!include <gcp/AI_and_Machine_Learning/AutoML_Tables>
AutoML_Translation,!include <gcp/AI_and_Machine_Learning/AutoML_Translation>
AutoML_Video_Intelligence,!include <gcp/AI_and_Machine_Learning/AutoML_Video_Intelligence>
AutoML_Vision,!include <gcp/AI_and_Machine_Learning/AutoML_Vision>
Cloud_AutoML,!include <gcp/AI_and_Machine_Learning/Cloud_AutoML>
Cloud_Inference_API,!include <gcp/AI_and_Machine_Learning/Cloud_Inference_API>
Cloud_Jobs_API,!include <gcp/AI_and_Machine_Learning/Cloud_Jobs_API>
Cloud_Natural_Language_API,!include <gcp/AI_and_Machine_Learning/Cloud_Natural_Language_API>
Cloud_Speech_to_Text,!include <gcp/AI_and_Machine_Learning/Cloud_Speech_to_Text>
Cloud_TPU,!include <gcp/AI_and_Machine_Learning/Cloud_TPU>
Cloud_Text_to_Speech,!include <gcp/AI_and_Machine_Learning/Cloud_Text_to_Speech>
Cloud_Translation_API,!include <gcp/AI_and_Machine_Learning/Cloud_Translation_API>
Cloud_Video_Intelligence_API,!include <gcp/AI_and_Machine_Learning/Cloud_Video_Intelligence_API>
Cloud_Vision_API,!include <gcp/AI_and_Machine_Learning/Cloud_Vision_API>
Dialog_Flow_Enterprise_Edition,!include <gcp/AI_and_Machine_Learning/Dialog_Flow_Enterprise_Edition>
Recommendations_AI,!include <gcp/AI_and_Machine_Learning/Recommendations_AI>
API_Analytics,!include <gcp/API_Management/API_Analytics>
API_Monetization,!include <gcp/API_Management/API_Monetization>
Apigee_API_Platform,!include <gcp/API_Management/Apigee_API_Platform>
Apigee_Sense,!include <gcp/API_Management/Apigee_Sense>
Cloud_Endpoints,!include <gcp/API_Management/Cloud_Endpoints>
Developer_Portal,!include <gcp/API_Management/Developer_Portal>
App_Engine,!include <gcp/Compute/App_Engine>
Cloud_Functions,!include <gcp/Compute/Cloud_Functions>
Cloud_Run,!include <gcp/Compute/Cloud_Run>
Compute_Engine,!include <gcp/Compute/Compute_Engine>
Container_Optimized_OS,!include <gcp/Compute/Container_Optimized_OS>
GKE_On_Prem,!include <gcp/Compute/GKE_On_Prem>
GPU,!include <gcp/Compute/GPU>
Kubernetes_Engine,!include <gcp/Compute/Kubernetes_Engine>
BigQuery,!include <gcp/Data_Analytics/BigQuery>
Cloud_Composer,!include <gcp/Data_Analytics/Cloud_Composer>
Cloud_Data_Catalog,!include <gcp/Data_Analytics/Cloud_Data_Catalog>
Cloud_Data_Fusion,!include <gcp/Data_Analytics/Cloud_Data_Fusion>
Cloud_Dataflow,!include <gcp/Data_Analytics/Cloud_Dataflow>
Cloud_Datalab,!include <gcp/Data_Analytics/Cloud_Datalab>
Cloud_Dataprep,!include <gcp/Data_Analytics/Cloud_Dataprep>
Cloud_Dataproc,!include <gcp/Data_Analytics/Cloud_Dataproc>
Cloud_PubSub,!include <gcp/Data_Analytics/Cloud_PubSub>
Genomics,!include <gcp/Data_Analytics/Genomics>
Cloud_Bigtable,!include <gcp/Databases/Cloud_Bigtable>
Cloud_Datastore,!include <gcp/Databases/Cloud_Datastore>
Cloud_Firestore,!include <gcp/Databases/Cloud_Firestore>
Cloud_Memorystore,!include <gcp/Databases/Cloud_Memorystore>
Cloud_SQL,!include <gcp/Databases/Cloud_SQL>
Cloud_Spanner,!include <gcp/Databases/Cloud_Spanner>
Cloud_Build,!include <gcp/Developer_Tools/Cloud_Build>
Cloud_Code,!include <gcp/Developer_Tools/Cloud_Code>
Cloud_Code_for_IntelliJ,!include <gcp/Developer_Tools/Cloud_Code_for_IntelliJ>
Cloud_SDK,!include <gcp/Developer_Tools/Cloud_SDK>
Cloud_Scheduler,!include <gcp/Developer_Tools/Cloud_Scheduler>
Cloud_Source_Repositories,!include <gcp/Developer_Tools/Cloud_Source_Repositories>
Cloud_Tasks,!include <gcp/Developer_Tools/Cloud_Tasks>
Cloud_Test_Lab,!include <gcp/Developer_Tools/Cloud_Test_Lab>
Cloud_Tools_for_Eclipse,!include <gcp/Developer_Tools/Cloud_Tools_for_Eclipse>
Cloud_Tools_for_PowerShell,!include <gcp/Developer_Tools/Cloud_Tools_for_PowerShell>
Cloud_Tools_for_Visual_Studio,!include <gcp/Developer_Tools/Cloud_Tools_for_Visual_Studio>
Container_Registry,!include <gcp/Developer_Tools/Container_Registry>
Gradle_App_Engine_Plugin,!include <gcp/Developer_Tools/Gradle_App_Engine_Plugin>
IDE_Plugins,!include <gcp/Developer_Tools/IDE_Plugins>
Maven_App_Engine_Plugin,!include <gcp/Developer_Tools/Maven_App_Engine_Plugin>
Stackdriver,!include <gcp/Hybrid_and_Multi_Cloud/Stackdriver>
Traffic_Director,!include <gcp/Hybrid_and_Multi_Cloud/Traffic_Director>
Cloud_IoT_Core,!include <gcp/Internet_of_Things/Cloud_IoT_Core>
Cloud_APIs,!include <gcp/Management_Tools/Cloud_APIs>
Cloud_Billing_API,!include <gcp/Management_Tools/Cloud_Billing_API>
Cloud_Console,!include <gcp/Management_Tools/Cloud_Console>
